	Tags	SeqName	Description	Length	#Hits	e-Value	sim mean	#GO	GO IDs	GO Names	Enzyme Codes	Enzyme Names	InterPro IDs	InterPro GO IDs	InterPro GO Names
true	[NO-BLAST]	11	---NA---	100											
true	[BLASTED, MAPPED]	12	Pocillopora damicornis mitochondrion, complete genome	100	17	3.81895E-4	100.0	32	F:GO:0004129; F:GO:0005507; C:GO:0005739; C:GO:0005743; P:GO:0006119; P:GO:0006754; P:GO:0006811; F:GO:0008121; F:GO:0008137; F:GO:0009055; P:GO:0009060; F:GO:0015002; F:GO:0015078; P:GO:0015986; P:GO:0015990; C:GO:0016020; C:GO:0016021; F:GO:0016491; F:GO:0016651; P:GO:0019646; F:GO:0020037; P:GO:0022900; P:GO:0022904; C:GO:0031966; P:GO:0042773; C:GO:0045263; C:GO:0045275; C:GO:0045277; F:GO:0046872; P:GO:0055114; C:GO:0070469; P:GO:1902600	F:cytochrome-c oxidase activity; F:copper ion binding; C:mitochondrion; C:mitochondrial inner membrane; P:oxidative phosphorylation; P:ATP biosynthetic process; P:ion transport; F:ubiquinol-cytochrome-c reductase activity; F:NADH dehydrogenase (ubiquinone) activity; F:electron transfer activity; P:aerobic respiration; F:heme-copper terminal oxidase activity; F:proton transmembrane transporter activity; P:ATP synthesis coupled proton transport; P:electron transport coupled proton transport; C:membrane; C:integral component of membrane; F:oxidoreductase activity; F:oxidoreductase activity, acting on NAD(P)H; P:aerobic electron transport chain; F:heme binding; P:electron transport chain; P:respiratory electron transport chain; C:mitochondrial membrane; P:ATP synthesis coupled electron transport; C:proton-transporting ATP synthase complex, coupling factor F(o); C:respiratory chain complex III; C:respiratory chain complex IV; F:metal ion binding; P:obsolete oxidation-reduction process; C:respirasome; P:proton transmembrane transport					
true	[BLASTED, MAPPED]	13	Pocillopora damicornis mitochondrion, complete genome	100	17	3.81895E-4	100.0	32	F:GO:0004129; F:GO:0005507; C:GO:0005739; C:GO:0005743; P:GO:0006119; P:GO:0006754; P:GO:0006811; F:GO:0008121; F:GO:0008137; F:GO:0009055; P:GO:0009060; F:GO:0015002; F:GO:0015078; P:GO:0015986; P:GO:0015990; C:GO:0016020; C:GO:0016021; F:GO:0016491; F:GO:0016651; P:GO:0019646; F:GO:0020037; P:GO:0022900; P:GO:0022904; C:GO:0031966; P:GO:0042773; C:GO:0045263; C:GO:0045275; C:GO:0045277; F:GO:0046872; P:GO:0055114; C:GO:0070469; P:GO:1902600	F:cytochrome-c oxidase activity; F:copper ion binding; C:mitochondrion; C:mitochondrial inner membrane; P:oxidative phosphorylation; P:ATP biosynthetic process; P:ion transport; F:ubiquinol-cytochrome-c reductase activity; F:NADH dehydrogenase (ubiquinone) activity; F:electron transfer activity; P:aerobic respiration; F:heme-copper terminal oxidase activity; F:proton transmembrane transporter activity; P:ATP synthesis coupled proton transport; P:electron transport coupled proton transport; C:membrane; C:integral component of membrane; F:oxidoreductase activity; F:oxidoreductase activity, acting on NAD(P)H; P:aerobic electron transport chain; F:heme binding; P:electron transport chain; P:respiratory electron transport chain; C:mitochondrial membrane; P:ATP synthesis coupled electron transport; C:proton-transporting ATP synthase complex, coupling factor F(o); C:respiratory chain complex III; C:respiratory chain complex IV; F:metal ion binding; P:obsolete oxidation-reduction process; C:respirasome; P:proton transmembrane transport					
true	[BLASTED, MAPPED]	14	Millepora sp. EK-2011 mitochondrion genome	100	1	2.44595E-5	92.0	31	F:GO:0004129; F:GO:0005507; C:GO:0005739; C:GO:0005743; P:GO:0006119; P:GO:0006754; P:GO:0006811; F:GO:0008121; F:GO:0008137; F:GO:0009055; P:GO:0009060; F:GO:0015002; F:GO:0015078; P:GO:0015986; C:GO:0016020; C:GO:0016021; F:GO:0016491; F:GO:0016651; F:GO:0016787; P:GO:0019646; F:GO:0020037; P:GO:0022900; P:GO:0022904; C:GO:0031966; P:GO:0042773; C:GO:0045263; C:GO:0045275; F:GO:0046872; P:GO:0055114; C:GO:0070469; P:GO:1902600	F:cytochrome-c oxidase activity; F:copper ion binding; C:mitochondrion; C:mitochondrial inner membrane; P:oxidative phosphorylation; P:ATP biosynthetic process; P:ion transport; F:ubiquinol-cytochrome-c reductase activity; F:NADH dehydrogenase (ubiquinone) activity; F:electron transfer activity; P:aerobic respiration; F:heme-copper terminal oxidase activity; F:proton transmembrane transporter activity; P:ATP synthesis coupled proton transport; C:membrane; C:integral component of membrane; F:oxidoreductase activity; F:oxidoreductase activity, acting on NAD(P)H; F:hydrolase activity; P:aerobic electron transport chain; F:heme binding; P:electron transport chain; P:respiratory electron transport chain; C:mitochondrial membrane; P:ATP synthesis coupled electron transport; C:proton-transporting ATP synthase complex, coupling factor F(o); C:respiratory chain complex III; F:metal ion binding; P:obsolete oxidation-reduction process; C:respirasome; P:proton transmembrane transport					
true	[NO-BLAST]	15	---NA---	100											
true	[NO-BLAST]	16	---NA---	100											
true	[NO-BLAST]	17	---NA---	100											
true	[NO-BLAST]	18	---NA---	100											
true	[NO-BLAST]	19	---NA---	100											
true	[NO-BLAST]	20	---NA---	100											
true	[BLASTED, MAPPED, ANNOTATED]	21	Gracilaria chouae mitochondrion, complete genome	100	20	1.81966E-18	86.88	29	C:GO:0000276; F:GO:0003729; F:GO:0003735; F:GO:0004129; F:GO:0005507; F:GO:0005524; P:GO:0006099; P:GO:0006397; P:GO:0006412; F:GO:0008121; F:GO:0008137; F:GO:0008177; F:GO:0008289; C:GO:0009535; C:GO:0015935; P:GO:0015986; P:GO:0015990; C:GO:0016021; F:GO:0016787; P:GO:0019646; F:GO:0019843; F:GO:0020037; P:GO:0042773; C:GO:0045275; C:GO:0045277; C:GO:0045281; F:GO:0051537; F:GO:0051538; F:GO:0051539	C:mitochondrial proton-transporting ATP synthase complex, coupling factor F(o); F:mRNA binding; F:structural constituent of ribosome; F:cytochrome-c oxidase activity; F:copper ion binding; F:ATP binding; P:tricarboxylic acid cycle; P:mRNA processing; P:translation; F:ubiquinol-cytochrome-c reductase activity; F:NADH dehydrogenase (ubiquinone) activity; F:succinate dehydrogenase (ubiquinone) activity; F:lipid binding; C:chloroplast thylakoid membrane; C:small ribosomal subunit; P:ATP synthesis coupled proton transport; P:electron transport coupled proton transport; C:integral component of membrane; F:hydrolase activity; P:aerobic electron transport chain; F:rRNA binding; F:heme binding; P:ATP synthesis coupled electron transport; C:respiratory chain complex III; C:respiratory chain complex IV; C:succinate dehydrogenase complex; F:2 iron, 2 sulfur cluster binding; F:3 iron, 4 sulfur cluster binding; F:4 iron, 4 sulfur cluster binding	EC:1.6.99.3; EC:1.9; EC:1.3.5.1; EC:1.3.5; EC:1.3; EC:7.1.1.2; EC:1.6; EC:1; EC:1.9.3; EC:1.6.5.11; EC:1.6.5; EC:3; EC:7.1.1.9; EC:7; EC:7.1.1.8; EC:1.6.5.2	NADH dehydrogenase; Acting on a heme group of donors; Succinate dehydrogenase (quinone); Acting on the CH-CH group of donors; Acting on the CH-CH group of donors; n/a; Acting on NADH or NADPH; Oxidoreductases; Acting on a heme group of donors; NADH dehydrogenase (quinone); Acting on NADH or NADPH; Hydrolases; n/a; n/a; n/a; NAD(P)H dehydrogenase (quinone)			
true	[BLASTED, MAPPED, ANNOTATED]	22	Ircinia sp. LCJ03 mitochondrion, complete genome	100	7	6.2133E-43	98.3	16	F:GO:0004129; F:GO:0005507; C:GO:0005743; F:GO:0008121; F:GO:0008137; F:GO:0008289; P:GO:0015986; P:GO:0015990; C:GO:0016021; F:GO:0016787; P:GO:0019646; F:GO:0020037; P:GO:0042773; C:GO:0045263; C:GO:0045275; C:GO:0045277	F:cytochrome-c oxidase activity; F:copper ion binding; C:mitochondrial inner membrane; F:ubiquinol-cytochrome-c reductase activity; F:NADH dehydrogenase (ubiquinone) activity; F:lipid binding; P:ATP synthesis coupled proton transport; P:electron transport coupled proton transport; C:integral component of membrane; F:hydrolase activity; P:aerobic electron transport chain; F:heme binding; P:ATP synthesis coupled electron transport; C:proton-transporting ATP synthase complex, coupling factor F(o); C:respiratory chain complex III; C:respiratory chain complex IV	EC:1.6.99.3; EC:1.9; EC:7.1.1.2; EC:1.6; EC:1; EC:1.6.5.11; EC:1.9.3; EC:1.6.5; EC:3; EC:7.1.1.9; EC:7; EC:7.1.1.8; EC:1.6.5.2	NADH dehydrogenase; Acting on a heme group of donors; n/a; Acting on NADH or NADPH; Oxidoreductases; NADH dehydrogenase (quinone); Acting on a heme group of donors; Acting on NADH or NADPH; Hydrolases; n/a; n/a; n/a; NAD(P)H dehydrogenase (quinone)			
true	[BLASTED, MAPPED, ANNOTATED]	23	Cacospongia mycofijiensis mitochondrial DNA, complete genome, isolate: IE_140609_001	100	7	1.96115E-24	99.34	16	F:GO:0004129; F:GO:0005507; C:GO:0005743; F:GO:0008121; F:GO:0008137; F:GO:0008289; P:GO:0015986; P:GO:0015990; C:GO:0016021; F:GO:0016787; P:GO:0019646; F:GO:0020037; P:GO:0042773; C:GO:0045263; C:GO:0045275; C:GO:0045277	F:cytochrome-c oxidase activity; F:copper ion binding; C:mitochondrial inner membrane; F:ubiquinol-cytochrome-c reductase activity; F:NADH dehydrogenase (ubiquinone) activity; F:lipid binding; P:ATP synthesis coupled proton transport; P:electron transport coupled proton transport; C:integral component of membrane; F:hydrolase activity; P:aerobic electron transport chain; F:heme binding; P:ATP synthesis coupled electron transport; C:proton-transporting ATP synthase complex, coupling factor F(o); C:respiratory chain complex III; C:respiratory chain complex IV	EC:1.6.99.3; EC:1.9; EC:7.1.1.2; EC:1.6; EC:1; EC:1.6.5.11; EC:1.9.3; EC:1.6.5; EC:3; EC:7.1.1.9; EC:7; EC:7.1.1.8; EC:1.6.5.2	NADH dehydrogenase; Acting on a heme group of donors; n/a; Acting on NADH or NADPH; Oxidoreductases; NADH dehydrogenase (quinone); Acting on a heme group of donors; Acting on NADH or NADPH; Hydrolases; n/a; n/a; n/a; NAD(P)H dehydrogenase (quinone)			
true	[BLASTED, MAPPED]	24	Pocillopora damicornis mitochondrion, complete genome	100	17	3.81895E-4	100.0	32	F:GO:0004129; F:GO:0005507; C:GO:0005739; C:GO:0005743; P:GO:0006119; P:GO:0006754; P:GO:0006811; F:GO:0008121; F:GO:0008137; F:GO:0009055; P:GO:0009060; F:GO:0015002; F:GO:0015078; P:GO:0015986; P:GO:0015990; C:GO:0016020; C:GO:0016021; F:GO:0016491; F:GO:0016651; P:GO:0019646; F:GO:0020037; P:GO:0022900; P:GO:0022904; C:GO:0031966; P:GO:0042773; C:GO:0045263; C:GO:0045275; C:GO:0045277; F:GO:0046872; P:GO:0055114; C:GO:0070469; P:GO:1902600	F:cytochrome-c oxidase activity; F:copper ion binding; C:mitochondrion; C:mitochondrial inner membrane; P:oxidative phosphorylation; P:ATP biosynthetic process; P:ion transport; F:ubiquinol-cytochrome-c reductase activity; F:NADH dehydrogenase (ubiquinone) activity; F:electron transfer activity; P:aerobic respiration; F:heme-copper terminal oxidase activity; F:proton transmembrane transporter activity; P:ATP synthesis coupled proton transport; P:electron transport coupled proton transport; C:membrane; C:integral component of membrane; F:oxidoreductase activity; F:oxidoreductase activity, acting on NAD(P)H; P:aerobic electron transport chain; F:heme binding; P:electron transport chain; P:respiratory electron transport chain; C:mitochondrial membrane; P:ATP synthesis coupled electron transport; C:proton-transporting ATP synthase complex, coupling factor F(o); C:respiratory chain complex III; C:respiratory chain complex IV; F:metal ion binding; P:obsolete oxidation-reduction process; C:respirasome; P:proton transmembrane transport					
true	[NO-BLAST]	25	---NA---	100											
true	[NO-BLAST]	26	---NA---	100											
true	[NO-BLAST]	27	---NA---	100											
true	[NO-BLAST]	28	---NA---	100											
true	[NO-BLAST]	29	---NA---	100											
true	[NO-BLAST]	30	---NA---	100											
true	[BLASTED, MAPPED, ANNOTATED]	31	Hydnophora exesa voucher 6044 mitochondrion, complete genome	100	20	1.35374E-31	98.07	14	F:GO:0004129; F:GO:0005507; C:GO:0005743; F:GO:0008121; F:GO:0008137; P:GO:0015986; P:GO:0015990; C:GO:0016021; P:GO:0019646; F:GO:0020037; P:GO:0042773; C:GO:0045263; C:GO:0045275; C:GO:0045277	F:cytochrome-c oxidase activity; F:copper ion binding; C:mitochondrial inner membrane; F:ubiquinol-cytochrome-c reductase activity; F:NADH dehydrogenase (ubiquinone) activity; P:ATP synthesis coupled proton transport; P:electron transport coupled proton transport; C:integral component of membrane; P:aerobic electron transport chain; F:heme binding; P:ATP synthesis coupled electron transport; C:proton-transporting ATP synthase complex, coupling factor F(o); C:respiratory chain complex III; C:respiratory chain complex IV	EC:1.6.99.3; EC:1.9; EC:7.1.1.2; EC:1.6; EC:1; EC:1.6.5.11; EC:1.9.3; EC:1.6.5; EC:7.1.1.9; EC:7; EC:7.1.1.8; EC:1.6.5.2	NADH dehydrogenase; Acting on a heme group of donors; n/a; Acting on NADH or NADPH; Oxidoreductases; NADH dehydrogenase (quinone); Acting on a heme group of donors; Acting on NADH or NADPH; n/a; n/a; n/a; NAD(P)H dehydrogenase (quinone)			
true	[BLASTED, MAPPED, ANNOTATED]	32	Gracilariopsis andersonii mitochondrion, complete genome	100	20	7.46447E-21	91.01	27	C:GO:0000276; F:GO:0003735; F:GO:0004129; F:GO:0004519; F:GO:0005507; P:GO:0006099; P:GO:0006397; P:GO:0006412; F:GO:0008121; F:GO:0008137; F:GO:0008177; F:GO:0008289; C:GO:0015935; P:GO:0015986; P:GO:0015990; C:GO:0016021; P:GO:0019646; F:GO:0019843; F:GO:0020037; P:GO:0042773; C:GO:0045275; C:GO:0045277; C:GO:0045281; F:GO:0051537; F:GO:0051538; F:GO:0051539; P:GO:0090305	C:mitochondrial proton-transporting ATP synthase complex, coupling factor F(o); F:structural constituent of ribosome; F:cytochrome-c oxidase activity; F:endonuclease activity; F:copper ion binding; P:tricarboxylic acid cycle; P:mRNA processing; P:translation; F:ubiquinol-cytochrome-c reductase activity; F:NADH dehydrogenase (ubiquinone) activity; F:succinate dehydrogenase (ubiquinone) activity; F:lipid binding; C:small ribosomal subunit; P:ATP synthesis coupled proton transport; P:electron transport coupled proton transport; C:integral component of membrane; P:aerobic electron transport chain; F:rRNA binding; F:heme binding; P:ATP synthesis coupled electron transport; C:respiratory chain complex III; C:respiratory chain complex IV; C:succinate dehydrogenase complex; F:2 iron, 2 sulfur cluster binding; F:3 iron, 4 sulfur cluster binding; F:4 iron, 4 sulfur cluster binding; P:nucleic acid phosphodiester bond hydrolysis	EC:1.6.99.3; EC:1.9; EC:1.3.5.1; EC:1.3.5; EC:1.3; EC:3.1; EC:7.1.1.2; EC:1.6; EC:1; EC:1.9.3; EC:1.6.5.11; EC:1.6.5; EC:3; EC:7.1.1.9; EC:7; EC:7.1.1.8; EC:1.6.5.2	NADH dehydrogenase; Acting on a heme group of donors; Succinate dehydrogenase (quinone); Acting on the CH-CH group of donors; Acting on the CH-CH group of donors; Acting on ester bonds; n/a; Acting on NADH or NADPH; Oxidoreductases; Acting on a heme group of donors; NADH dehydrogenase (quinone); Acting on NADH or NADPH; Hydrolases; n/a; n/a; n/a; NAD(P)H dehydrogenase (quinone)			
true	[BLASTED, MAPPED]	33	Pocillopora damicornis mitochondrion, complete genome	100	17	3.81895E-4	100.0	32	F:GO:0004129; F:GO:0005507; C:GO:0005739; C:GO:0005743; P:GO:0006119; P:GO:0006754; P:GO:0006811; F:GO:0008121; F:GO:0008137; F:GO:0009055; P:GO:0009060; F:GO:0015002; F:GO:0015078; P:GO:0015986; P:GO:0015990; C:GO:0016020; C:GO:0016021; F:GO:0016491; F:GO:0016651; P:GO:0019646; F:GO:0020037; P:GO:0022900; P:GO:0022904; C:GO:0031966; P:GO:0042773; C:GO:0045263; C:GO:0045275; C:GO:0045277; F:GO:0046872; P:GO:0055114; C:GO:0070469; P:GO:1902600	F:cytochrome-c oxidase activity; F:copper ion binding; C:mitochondrion; C:mitochondrial inner membrane; P:oxidative phosphorylation; P:ATP biosynthetic process; P:ion transport; F:ubiquinol-cytochrome-c reductase activity; F:NADH dehydrogenase (ubiquinone) activity; F:electron transfer activity; P:aerobic respiration; F:heme-copper terminal oxidase activity; F:proton transmembrane transporter activity; P:ATP synthesis coupled proton transport; P:electron transport coupled proton transport; C:membrane; C:integral component of membrane; F:oxidoreductase activity; F:oxidoreductase activity, acting on NAD(P)H; P:aerobic electron transport chain; F:heme binding; P:electron transport chain; P:respiratory electron transport chain; C:mitochondrial membrane; P:ATP synthesis coupled electron transport; C:proton-transporting ATP synthase complex, coupling factor F(o); C:respiratory chain complex III; C:respiratory chain complex IV; F:metal ion binding; P:obsolete oxidation-reduction process; C:respirasome; P:proton transmembrane transport					
true	[NO-BLAST]	34	---NA---	100											
true	[NO-BLAST]	35	---NA---	100											
true	[NO-BLAST]	36	---NA---	100											
true	[NO-BLAST]	37	---NA---	100											
true	[NO-BLAST]	38	---NA---	100											
true	[BLASTED, MAPPED, ANNOTATED]	39	Gracilariopsis longissima mitochondrion, complete genome	100	20	1.30399E-28	88.72	25	C:GO:0000276; F:GO:0003735; F:GO:0004129; F:GO:0005507; P:GO:0006099; P:GO:0006412; F:GO:0008121; F:GO:0008137; F:GO:0008177; F:GO:0008289; C:GO:0015935; P:GO:0015986; P:GO:0015990; C:GO:0016021; F:GO:0016787; P:GO:0019646; F:GO:0019843; F:GO:0020037; P:GO:0042773; C:GO:0045275; C:GO:0045277; C:GO:0045281; F:GO:0051537; F:GO:0051538; F:GO:0051539	C:mitochondrial proton-transporting ATP synthase complex, coupling factor F(o); F:structural constituent of ribosome; F:cytochrome-c oxidase activity; F:copper ion binding; P:tricarboxylic acid cycle; P:translation; F:ubiquinol-cytochrome-c reductase activity; F:NADH dehydrogenase (ubiquinone) activity; F:succinate dehydrogenase (ubiquinone) activity; F:lipid binding; C:small ribosomal subunit; P:ATP synthesis coupled proton transport; P:electron transport coupled proton transport; C:integral component of membrane; F:hydrolase activity; P:aerobic electron transport chain; F:rRNA binding; F:heme binding; P:ATP synthesis coupled electron transport; C:respiratory chain complex III; C:respiratory chain complex IV; C:succinate dehydrogenase complex; F:2 iron, 2 sulfur cluster binding; F:3 iron, 4 sulfur cluster binding; F:4 iron, 4 sulfur cluster binding	EC:1.6.99.3; EC:1.3.5.1; EC:1.9; EC:1.3.5; EC:1.3; EC:7.1.1.2; EC:1.6; EC:1; EC:1.6.5.11; EC:1.9.3; EC:1.6.5; EC:3; EC:7.1.1.9; EC:7; EC:7.1.1.8; EC:1.6.5.2	NADH dehydrogenase; Succinate dehydrogenase (quinone); Acting on a heme group of donors; Acting on the CH-CH group of donors; Acting on the CH-CH group of donors; n/a; Acting on NADH or NADPH; Oxidoreductases; NADH dehydrogenase (quinone); Acting on a heme group of donors; Acting on NADH or NADPH; Hydrolases; n/a; n/a; n/a; NAD(P)H dehydrogenase (quinone)			
true	[NO-BLAST]	40	---NA---	100											
true	[BLASTED, MAPPED, ANNOTATED]	41	Byssochlamys spectabilis mitochondrial gene for small subunit ribosomal RNA sequence	100	20	4.13129E-47	100.0	14	C:GO:0000276; F:GO:0004129; F:GO:0005507; C:GO:0005840; F:GO:0008121; F:GO:0008137; F:GO:0008289; P:GO:0015986; C:GO:0016021; P:GO:0019646; F:GO:0020037; P:GO:0042773; C:GO:0045275; C:GO:0045277	C:mitochondrial proton-transporting ATP synthase complex, coupling factor F(o); F:cytochrome-c oxidase activity; F:copper ion binding; C:ribosome; F:ubiquinol-cytochrome-c reductase activity; F:NADH dehydrogenase (ubiquinone) activity; F:lipid binding; P:ATP synthesis coupled proton transport; C:integral component of membrane; P:aerobic electron transport chain; F:heme binding; P:ATP synthesis coupled electron transport; C:respiratory chain complex III; C:respiratory chain complex IV	EC:1.6.99.3; EC:1.9; EC:7.1.1.2; EC:1.6; EC:1; EC:1.6.5.11; EC:1.9.3; EC:1.6.5; EC:7.1.1.9; EC:7; EC:7.1.1.8; EC:1.6.5.2	NADH dehydrogenase; Acting on a heme group of donors; n/a; Acting on NADH or NADPH; Oxidoreductases; NADH dehydrogenase (quinone); Acting on a heme group of donors; Acting on NADH or NADPH; n/a; n/a; n/a; NAD(P)H dehydrogenase (quinone)			
